대분류,소분류,2018년 전시회 관람 평균소비,2018년 박물관 관람 평균소비,2018년 음악 및 무용발표회 관람 평균소비,2018년 전통예술공연 관람 평균소비,2018년 연극공연 관람 평균소비,2018년 영화관람 평균소비,2018년 대중공연 관람 평균소비,2018년 운동경기 관람 평균소비,2019년 전시회 관람 평균소비,2019년 박물관 관람 평균소비,2019년 음악 및 무용발표회 관람 평균소비,2019년 전통예술공연 관람 평균소비,2019년 연극공연 관람 평균소비,2019년 영화관람 평균소비,2019년 대중공연 관람 평균소비,2019년 년 운동경기 관람 평균소비,2020년 전시회 관람 평균소비,2020년 박물관 관람 평균소비,2020년 음악 및 무용발표회 관람 평균소비,2020년 전통예술공연 관람 평균소비,2020년 연극공연 관람 평균소비,2020년 영화관람 평균소비,2020년 대중공연 관람 평균소비,2020년 운동경기 관람 평균소비,2021년 전시회 관람 평균소비,2021년 박물관 관람 평균소비,2021년 음악 및 무용발표회 관람 평균소비,2021년 전통예술공연 관람 평균소비,2021년 연극공연 관람 평균소비,2021년 영화관람 평균소비,2021년 대중공연 관람 평균소비,2021년 운동경기 관람 평균소비,2022년 전시회 관람 평균소비,2022년 박물관 관람 평균소비,2022년 음악 및 무용발표회 관람 평균소비,2022년 전통예술공연 관람 평균소비,2022년 연극공연 관람 평균소비,2022년 영화관람 평균소비,2022년 대중공연 관람 평균소비,2022년 운동경기 관람 평균소비,2023년 전시회 관람 평균소비,2023년 박물관 관람 평균소비,2023년 음악 및 무용발표회 관람 평균소비,2023년 전통예술공연 관람 평균소비,2023년 연극공연 관람 평균소비,2023년 영화관람 평균소비,2023년 대중공연 관람 평균소비,2023년 운동경기 관람 평균소비
전체,전체,"38,997","14,855","89,475","25,773","79,302","47,844","89,850","53,263","22,218","16,345","82,457","31,012","83,008","48,714","106,438","77,012","27,887","17,660","93,312","31,197","94,617","49,545","121,908","62,432","28,130","17,606","59,606","27,767","79,094","47,911","44,079","19,849","25,772","16,918","124,375","18,292","95,461","48,257","74,992","35,167","26,807","20,994","84,321","24,997","88,430","47,791","123,285","44,291"
성별,남성,"40,739","15,613","96,225","31,559","81,682","49,898","96,828","58,529","19,862","17,723","84,001","34,292","87,248","51,716","111,477","78,770","28,764","19,537","91,106","34,119","90,925","52,869","113,611","66,824","28,057","19,376","59,566","31,361","69,575","51,120","38,641","21,414","26,187","17,405","135,228","16,170","94,240","50,220","65,038","36,328","25,459","22,208","82,210","23,393","82,561","49,186","119,048","47,357"
성별,여성,"37,765","14,253","85,508","21,828","77,781","46,058","84,938","42,648","23,876","15,194","81,477","28,418","79,831","46,009","102,732","73,490","27,151","15,870","95,335","28,268","97,570","46,501","128,614","53,135","28,184","15,776","59,643","23,980","86,347","44,789","48,610","16,879","25,402","16,441","115,472","20,392","96,252","46,404","83,040","32,236","27,868","20,075","85,955","26,153","92,524","46,534","125,790","36,716"
연령대,10대,"33,440","8,784","24,771","10,527","43,544","41,026","72,223","37,243","15,962","11,768","33,480","19,556","52,641","42,210","76,246","39,402","16,939","10,131","32,770","8,355","44,657","34,283","74,933","42,045","29,450","19,842","43,484","36,313","52,934","40,079","58,091","21,842","10,022","13,001","29,185","8,806","44,618","38,372","71,964","13,290","18,118","16,996","52,811","24,152","58,236","42,355","120,442","24,251"
연령대,20대,"34,220","12,997","83,866","19,911","76,353","58,410","96,706","54,503","24,669","15,185","65,985","31,598","82,942","59,595","111,124","70,801","26,350","16,911","85,222","21,420","85,857","54,608","132,984","64,657","25,264","12,548","51,740","23,928","82,296","50,005","41,869","19,633","28,672","13,992","78,011","21,163","81,805","58,884","87,465","36,674","27,994","20,557","79,310","24,442","87,879","51,884","138,498","39,689"
연령대,30대,"41,763","17,388","94,409","29,311","82,563","52,617","97,036","55,912","25,201","17,934","97,397","25,514","85,670","55,118","110,244","86,170","32,747","19,642","95,987","41,193","114,927","56,298","135,841","64,226","30,351","20,041","72,389","35,594","95,784","53,235","59,095","22,877","26,468","16,877","79,652","36,072","105,824","55,354","105,071","48,209","27,092","20,641","100,096","27,450","99,728","55,008","112,649","56,185"
연령대,40대,"42,113","17,878","98,566","31,926","87,314","46,562","90,491","54,851","25,139","19,811","94,634","29,689","90,075","46,957","101,406","73,225","30,816","18,498","95,438","40,331","100,999","54,814","117,538","68,362","31,923","20,932","66,406","35,315","66,763","53,271","44,779","22,278","31,699","22,194","188,581","32,273","115,398","47,118","77,065","45,980","28,029","22,268","98,355","35,833","95,047","49,345","111,367","47,532"
연령대,50대,"49,211","14,893","110,628","31,114","84,002","40,783","94,108","58,438","19,844","15,732","91,308","33,861","86,023","41,938","110,253","82,701","23,723","21,788","100,581","33,263","90,913","45,482","118,950","59,452","24,798","14,955","52,326","24,080","88,379","44,184","32,290","17,777","29,691","17,645","141,520","24,505","95,970","40,741","91,224","32,898","29,296","25,531","104,482","29,074","96,216","42,641","132,454","49,593"
연령대,60대 이상,"29,964","12,196","76,511","21,894","74,016","32,519","60,832","37,324","14,352","12,716","83,050","33,076","76,538","35,066","113,756","103,977","23,262","11,169","94,813","21,116","72,814","32,831","92,436","48,983","25,824","15,529","52,957","17,259","47,439","34,337","35,046","13,404","12,669","14,435","146,597","10,575","93,130","31,003","31,905","14,049","22,982","18,135","53,796","19,099","59,428","36,328","116,991","30,224"
지역구,종로구,"22,295","7,566","87,267","12,431","68,518","34,957","110,653","37,836","11,363","8,702","69,074","10,630","37,313","40,448","29,138","50,782","34,073","13,492","96,829","17,371","98,736","62,214","111,137","76,693","35,168","17,856","103,839","11,154","103,682","57,464","36,029","13,681","66,625","46,227","93,793","27,334","104,755","67,786","144,407","59,626","25,827","22,290","56,567","15,726","47,235","45,227","107,017","67,753"
지역구,중구,"7,273","6,721","40,385","12,972","40,698","42,076","53,009","36,244","19,423","23,959","50,611","24,134","46,546","52,319","27,050","35,235","19,965","17,317","94,977","48,060","80,632","53,017","99,889","54,454","20,499","14,759","60,104","30,514","84,931","37,040","62,772","9,701","27,040","11,349","60,879","48,050","161,176","50,082","67,363","65,617","22,642","7,827","41,004","7,488","142,014","53,585","137,212","61,724"
지역구,용산구,"19,001","10,033","65,727","7,990","50,609","44,204","72,313","46,437","11,623","12,045","80,295","9,229","57,130","39,209","88,153","54,906","29,123","16,629","100,177","23,948","88,162","65,122","145,989","70,682","28,045","18,948","87,017","25,767","81,251","47,496","61,149","26,309","17,069","15,207","109,797","11,952","115,640","54,169","114,341","44,135","16,653","9,570","21,915","10,396","43,328","52,348","417,460","231,450"
지역구,성동구,"14,741","6,571","56,184","11,807","69,991","39,990","64,387","33,014","24,132","11,840","65,413","28,318","54,070","47,356","71,472","37,103","31,752","15,211","79,516","35,236","93,156","48,705","145,871","52,661","22,928","9,902","47,758","17,452","72,523","54,337","26,247","18,013","20,791","22,528","202,191","39,232","84,087","62,137","50,669","33,313","27,214","26,955","124,943","56,902","78,272","69,747","64,861","36,782"
지역구,광진구,"51,114","14,144","145,345","37,348","113,819","72,313","106,142","87,304","50,410","18,439","86,149","31,255","92,410","41,760","106,770","105,547","21,991","15,099","106,406","21,175","107,202","52,415","149,117","67,539","29,941","14,218","66,892","26,602","90,367","50,682","47,253","19,532","26,369","17,806","181,126","81,384","143,147","54,164","186,253","72,944","27,173","19,271","55,530","38,018","66,924","38,249","88,681","20,930"
지역구,동대문구,"37,544","8,371","109,481","16,420","52,715","43,284","52,724","44,072","29,639","22,238","98,276","6,596","65,131","50,553","57,855","50,319","24,113","17,570","71,520","23,939","61,617","41,517","95,849","59,730","23,489","9,998","49,576","28,137","45,162","42,376","47,050","13,046","69,781","19,907","124,985","62,138","110,425","50,795","151,336","98,580","42,372","14,758","85,618","10,991","118,095","50,201","179,506","39,753"
지역구,중랑구,"23,684","10,023","61,303","41,458","55,988","46,262","71,804","56,390","19,975","16,763","100,726","45,994","76,478","35,445","80,874","39,884","28,588","17,294","98,807","44,638","80,082","46,443","109,086","103,513","17,890","11,420","32,712","15,846","60,554","36,360","42,136","20,968","23,537","10,802","81,269","29,211","98,992","42,283","95,257","39,320","27,695","19,035","116,955","34,225","102,691","52,425","140,460","35,949"
지역구,성북구,"57,138","12,624","79,700","9,066","79,686","40,500","81,356","48,503","21,207","14,588","50,779","10,232","50,668","45,297","57,832","52,596","30,570","16,203","150,247","45,060","160,066","55,671","117,160","57,306","20,113","13,022","47,432","15,524","67,426","42,316","33,436","11,665","37,652","14,401","251,444","10,672","174,538","63,409","76,571","26,976","37,511","10,162","101,524","1,827","83,190","43,530","137,371","57,210"
지역구,강북구,"41,513","12,819","154,420","11,125","93,997","41,089","91,546","48,645","26,417","16,802","33,574","16,620","30,428","31,897","44,019","37,213","29,872","17,831","115,584","25,408","80,111","40,114","147,488","36,439","22,029","21,848","25,459","24,739","56,204","39,747","37,821","21,213","26,450","24,232","14,462","1,242","60,931","44,389","61,238","22,398","28,479","52,816","89,975","17,625","96,192","53,174","146,170","59,067"
지역구,도봉구,"23,392","10,656","74,917","45,166","70,824","39,769","85,764","47,580","25,332","22,839","87,684","19,691","67,683","44,869","84,965","100,280","17,209","15,034","123,471","21,828","83,318","41,555","112,236","98,252","25,109","17,956","58,193","44,224","66,215","44,524","69,401","30,297","7,756","9,235","49,758","11,107","26,878","45,215","80,622","13,626","8,565","23,779",-,-,"51,695","64,531","105,294","16,760"
지역구,노원구,"18,788","11,063","66,454","6,640","69,548","49,849","65,693","46,293","13,216","19,174","86,403","51,302","92,221","38,070","96,832","35,319","22,930","12,463","67,876","29,226","71,330","42,462","73,784","57,720","19,107","14,335","41,864","20,818","95,651","48,258","38,376","12,610","14,041","8,553","36,872","4,126","57,368","34,688","12,759","8,565","39,326","12,521","104,084","21,886","130,897","43,708","147,580","69,352"
지역구,은평구,"18,359","15,307","76,856","25,243","60,197","43,721","74,994","39,114","24,442","17,424","90,581","25,781","57,373","42,460","70,729","59,723","26,271","16,640","81,534","30,819","82,822","45,846","105,028","44,192","23,984","13,721","54,507","34,188","68,340","47,682","45,199","27,368","11,747","16,275","103,033","9,701","57,953","39,736","78,061","24,959","30,121","35,076","138,824","42,101","64,003","40,043","88,433","45,186"
지역구,서대문구,"29,133","9,276","104,218","23,495","65,955","37,062","55,509","47,369","8,529","11,110","36,113","8,100","49,518","62,276","30,798","61,254","19,514","11,874","61,945","18,718","85,503","44,903","100,194","39,067","21,616","16,356","58,245","30,964","91,679","47,373","49,141","15,628","33,364","26,013","103,813","26,001","87,615","52,108","56,760","38,656","21,902","13,504","16,339","6,041","86,869","38,277","144,361","26,491"
지역구,마포구,"18,281","12,877","65,800","21,545","71,070","50,731","84,276","72,572","9,263","9,508","54,747","38,976","78,444","47,898","84,571","54,185","25,251","13,578","85,633","24,667","127,139","48,787","141,455","65,673","29,434","16,963","62,254","26,569","109,097","46,363","61,168","24,093","129,701","12,009","49,140","5,676","115,273","52,238","46,860","35,126","25,788","12,576","117,570","38,874","79,323","44,553","102,466","59,860"
지역구,양천구,"28,284","22,516","80,023","38,513","70,477","41,660","81,354","44,126","13,478","18,770","51,353","13,677","53,183","39,489","38,011","48,581","17,796","13,393","71,423","10,779","73,753","49,263","108,559","64,037","29,286","17,930","57,022","9,088","70,559","47,110","28,442","14,509","25,067","17,953","38,418","20,095","57,696","38,418","97,977","21,379","15,810","20,561","44,650","12,581","57,681","42,982","67,752","31,292"
지역구,강서구,"24,241","20,658","66,720","31,140","96,548","58,893","67,733","49,540","26,261","12,910","87,200","30,186","74,366","48,819","84,684","57,696","29,538","18,975","115,965","40,490","80,282","46,301","101,716","59,322","33,660","16,665","45,016","25,559","69,578","48,142","50,212","21,453","32,968","16,643","174,662","14,752","107,647","46,405","73,466","127,156","34,403","12,704","66,403","20,158","84,617","34,603","85,875","45,747"
지역구,구로구,"21,622","11,051","69,809","24,145","85,682","49,536","131,483","50,745","10,611","12,543","84,374","50,064","113,591","51,995","122,254","69,999","24,600","14,890","101,096","46,483","90,372","46,880","174,252","41,732","17,632","9,863","53,113","17,056","84,968","44,899","25,830","15,268","9,382","4,184","21,480","1,252","60,428","43,649","50,692","17,644","12,590","9,756","37,430","9,279","51,666","32,770","47,526","17,558"
지역구,금천구,"52,165","20,319","105,603","24,017","83,785","53,864","91,447","69,655","22,815","12,476","53,938","13,695","89,657","59,702","56,988","45,822","26,016","16,010","56,068","30,166","71,217","48,043","73,738","43,691","23,628","15,846","36,290","23,915","80,179","44,476","37,886","39,717","14,186","9,587","15,068","9,069","64,557","58,732","39,202","29,714","28,387","18,935","33,948","14,359","22,312","50,724","91,401","28,516"
지역구,영등포구,"31,054","18,093","54,195","19,717","56,357","53,706","70,007","58,380","10,573","16,049","95,200","68,765","178,679","71,066","213,721","185,995","37,909","23,453","77,851","66,025","95,774","60,308","104,210","71,746","24,727","13,760","62,332","15,801","91,936","57,111","52,825","20,158","10,180","8,193","62,825","45,383","88,629","27,278","9,398","9,770","29,385","37,713","83,348","51,092","86,946","58,464","82,546","55,571"
지역구,동작구,"80,568","10,449","181,629","49,680","104,765","59,792","66,332","99,022","16,215","8,722","61,088","53,334","43,784","37,984","146,674","44,892","19,617","10,462","77,493","13,484","72,554","58,477","67,215","50,604","32,161","12,854","62,693","36,362","63,245","58,189","30,475","19,025","29,801","16,695","73,303","24,844","67,588","36,386","81,207","24,043","33,807","16,407","78,997","22,792","89,037","39,479","98,268","25,954"
지역구,관악구,"21,457","15,705","59,866","21,590","97,606","46,086","120,011","44,221","19,393","12,202","62,462","52,629","89,476","62,119","142,147","110,121","18,604","14,519","68,178","28,399","102,752","44,671","126,076","47,999","19,923","13,713","29,038","14,461","56,910","38,676","40,031","24,171","29,826","7,084","208,381","16,280","133,301","54,757","96,413","40,645","48,683","10,938","108,918","14,385","129,879","46,845","133,402","125,740"
지역구,서초구,"54,256","10,531","110,399","16,179","83,529","49,437","183,019","42,698","22,637","14,716","120,155","22,314","85,464","50,322","131,668","75,201","31,734","22,839","115,779","52,045","72,197","47,980","138,748","65,009","48,084","46,850","70,963","80,387","110,057","54,282","69,236","33,038","19,125","15,207","143,819","25,097","81,391","47,144","52,530","21,327","22,459","37,167","136,455","37,902","129,700","50,272","115,871","22,855"
지역구,강남구,"71,431","13,059","92,000","17,657","75,653","42,349","82,504","55,185","34,965","19,443","136,297","20,874","110,540","56,616","101,596","86,437","44,600","35,421","134,696","49,326","126,038","60,122","143,185","77,915","41,772","23,331","86,074","35,183","103,784","49,242","47,320","20,514","25,852","33,476","209,779","36,689","126,940","57,629","139,608","72,875","18,668","14,674","93,195","22,641","101,619","62,806","166,427","57,827"
지역구,송파구,"30,724","23,967","78,869","51,364","102,975","51,326","111,677","66,752","28,652","24,754","62,610","26,855","101,742","55,070","119,563","75,138","33,480","15,949","82,020","27,386","121,255","53,230","158,941","81,042","24,519","11,794","59,132","27,447","69,979","50,363","36,131","15,211","26,178","16,010","146,000","15,693","91,617","46,341","87,111","37,329","43,277","36,717","128,018","45,213","145,870","56,626","232,115","27,308"
지역구,강동구,"53,598","13,209","98,312","23,343","65,372","41,022","81,768","52,059","32,307","16,310","82,062","11,779","94,186","55,207","99,550","54,496","27,571","21,087","76,906","25,421","92,207","42,922","114,414","63,899","24,923","21,954","77,970","27,042","61,612","49,170","50,712","17,965","35,973","41,113","93,780","11,469","78,270","52,021","137,674","30,010","44,419","27,532","93,290","21,856","69,234","51,145","130,162","56,452"
